SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
1,ANDAMAN & NICOBAR ISLANDS,1951,82.70,7.20,0.00,45.40,259.00,619.90,665.30,101.30,360.90,489.00,209.60,434.80,3275.10,89.90,304.40,1747.40,1133.40
2,ARUNACHAL PRADESH,1951,31.80,65.30,309.90,441.00,344.50,757.80,554.70,278.50,383.70,101.80,46.20,39.10,3354.30,97.10,1095.40,1974.70,187.10
3,ASSAM & MEGHALAYA,1951,4.50,2.90,54.60,230.00,270.60,688.40,665.90,444.40,241.50,302.20,46.30,5.40,2956.70,7.40,555.20,2040.20,353.90
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1951,3.90,0.20,62.40,360.10,233.70,495.00,436.20,440.50,191.10,310.60,54.90,20.80,2609.40,4.10,656.20,1562.80,386.30
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1951,1.00,0.50,22.70,69.30,239.80,546.50,778.30,503.70,326.10,158.00,37.30,0.00,2683.20,1.50,331.80,2154.60,195.30
6,GANGETIC WEST BENGAL,1951,0.00,0.40,62.10,13.10,67.40,180.70,253.50,260.30,200.10,140.00,36.00,0.40,1214.00,0.40,142.60,894.60,176.40
7,ORISSA,1951,2.20,0.00,89.70,37.10,48.00,172.50,339.10,349.50,165.50,155.60,37.10,0.00,1396.30,2.20,174.80,1026.60,192.70
8,JHARKHAND,1951,5.10,0.40,48.90,24.20,25.10,177.50,259.10,267.00,186.10,69.20,9.00,0.00,1071.60,5.50,98.20,889.70,78.20
9,BIHAR ,1951,7.30,1.50,5.80,8.20,22.90,144.20,307.30,204.20,114.50,28.70,4.70,0.10,849.40,8.80,36.90,770.20,33.50
10,EAST UTTAR PRADESH,1951,27.40,10.90,21.60,6.10,2.50,114.40,139.20,247.40,168.30,12.70,2.00,0.10,752.60,38.30,30.20,669.30,14.80
11,WEST UTTAR PRADESH,1951,16.40,8.20,34.70,6.80,11.60,31.30,141.30,251.70,197.90,6.40,18.60,0.00,724.90,24.60,53.10,622.20,25.00
12,UTTARANCHAL,1951,53.90,41.70,46.90,30.60,61.50,73.90,199.90,402.10,203.10,13.90,43.80,0.10,1171.40,95.60,139.00,879.00,57.80
13,"HARYANA, DELHI & CHANDIGARH",1951,8.30,0.40,33.60,11.90,9.00,18.20,52.50,136.10,36.50,0.20,26.70,0.00,333.40,8.70,54.50,243.30,26.90
14,PUNJAB ,1951,23.90,4.30,53.50,10.40,21.50,5.10,207.80,122.20,12.50,1.90,34.50,1.90,499.50,28.20,85.40,347.60,38.30
15,HIMACHAL PRADESH,1951,112.30,69.40,87.40,90.40,89.10,38.80,217.30,309.30,124.50,19.30,69.60,11.10,1238.50,181.70,266.90,689.90,100.00
16,JAMMU & KASHMIR,1951,104.00,96.50,117.80,86.90,91.30,62.80,118.70,159.90,26.30,22.10,25.20,31.80,943.30,200.50,296.00,367.70,79.10
17,WEST RAJASTHAN ,1951,0.10,0.00,6.40,5.10,16.40,20.20,33.60,83.30,0.80,0.20,13.80,0.00,179.90,0.10,27.90,137.90,14.00
18,EAST  RAJASTHAN ,1951,2.00,0.00,6.40,2.80,8.10,51.00,98.20,158.00,19.30,0.70,19.10,0.00,365.60,2.00,17.30,326.50,19.80
19,WEST MADHYA PRADESH,1951,5.30,0.40,6.00,0.50,3.50,88.00,231.70,205.50,85.50,18.90,4.40,0.00,649.70,5.70,10.00,610.70,23.30
20,EAST MADHYA PRADESH,1951,19.30,21.00,44.50,16.50,9.90,138.50,285.80,382.40,221.60,35.90,0.00,0.00,1175.40,40.30,70.90,1028.30,35.90
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1951,0.00,0.00,0.50,0.30,1.50,66.10,217.50,168.00,7.20,12.60,7.10,0.30,481.10,0.00,2.30,458.80,20.00
22,SAURASHTRA KUTCH & DIU,1951,0.00,0.00,0.90,0.80,1.40,40.30,133.40,90.40,6.70,0.50,18.50,0.00,292.90,0.00,3.10,270.80,19.00
23,KOKAN & GOA,1951,0.00,0.00,2.00,10.20,22.30,713.00,1116.30,510.20,126.80,269.40,38.10,0.00,2808.30,0.00,34.50,2466.30,307.50
24,MADHYA MAHARASHTRA,1951,0.10,0.00,0.50,9.30,29.50,150.10,250.20,136.30,71.70,128.90,20.10,0.00,796.70,0.10,39.30,608.30,149.00
25,MARATWADA ,1951,0.40,0.00,6.20,10.60,11.20,159.50,271.00,101.30,89.30,78.40,3.50,0.00,731.40,0.40,28.00,621.10,81.90
26,VIDARBHA,1951,4.60,0.60,41.90,14.60,11.10,136.80,348.80,318.60,123.10,81.50,0.60,0.00,1082.20,5.20,67.60,927.30,82.10
27,CHATTISGARH,1951,4.70,2.80,100.90,57.80,32.40,147.00,327.70,462.20,167.30,95.10,2.00,0.00,1399.90,7.50,191.10,1104.20,97.10
28,COSTAL ANDHRA PRADESH,1951,1.30,0.00,24.60,34.50,49.80,111.50,223.30,140.50,124.90,80.70,82.50,2.10,875.70,1.30,108.90,600.20,165.30
29,TELENGANA,1951,0.00,0.00,41.10,20.00,31.60,121.20,297.40,140.90,116.20,65.30,2.50,0.30,836.50,0.00,92.70,675.70,68.10
30,RAYALSEEMA,1951,0.00,0.00,16.50,34.70,76.70,61.00,95.10,47.40,79.70,67.40,27.50,0.00,506.00,0.00,127.90,283.20,94.90
31,TAMIL NADU & PONDICHERRY,1951,11.70,0.80,26.70,115.20,83.00,30.80,83.60,94.70,113.40,98.30,187.20,9.60,855.00,12.50,224.90,322.50,295.10
32,COASTAL KARNATAKA,1951,0.00,0.00,0.90,55.40,70.70,940.20,1083.40,441.10,268.90,187.10,76.20,0.40,3124.30,0.00,127.00,2733.60,263.70
33,NORTH INTERIOR KARNATAKA,1951,0.00,0.00,4.50,17.30,63.80,117.60,179.00,64.80,149.00,101.20,10.40,0.80,708.40,0.00,85.60,510.40,112.40
34,SOUTH INTERIOR KARNATAKA,1951,0.20,0.00,12.90,60.90,135.50,111.50,205.90,89.60,178.10,97.90,33.40,0.00,925.90,0.20,209.30,585.10,131.30
35,KERALA,1951,6.60,6.50,41.60,175.90,148.50,774.10,544.60,190.60,313.80,250.60,229.60,23.20,2705.60,13.10,366.00,1823.10,503.40
36,LAKSHADWEEP ,1951,24.30,28.90,35.30,129.90,108.40,445.10,524.20,43.70,156.00,68.60,103.60,47.30,1715.30,53.20,273.60,1169.00,219.50
1,ANDAMAN & NICOBAR ISLANDS,1952,0.00,0.80,69.70,39.40,452.90,657.70,385.50,541.30,240.30,315.60,287.50,89.20,3079.90,0.80,562.00,1824.80,692.30
2,ARUNACHAL PRADESH,1952,17.20,24.50,189.60,151.50,235.10,276.80,320.60,481.10,368.20,257.90,43.90,29.70,2396.10,41.70,576.20,1446.70,331.50
3,ASSAM & MEGHALAYA,1952,4.00,9.30,105.50,159.40,494.60,453.10,662.50,495.00,376.40,303.90,48.50,1.80,3114.00,13.30,759.50,1987.00,354.20
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1952,9.60,6.50,97.10,208.20,345.90,442.60,556.80,422.80,320.50,323.60,76.20,1.10,2810.90,16.10,651.20,1742.70,400.90
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1952,1.30,22.20,80.80,168.20,420.80,580.60,713.00,522.90,587.90,148.80,20.70,3.70,3270.90,23.50,669.80,2404.40,173.20
6,GANGETIC WEST BENGAL,1952,0.30,1.10,23.30,99.70,77.00,167.40,431.00,244.70,189.10,159.60,2.50,0.00,1395.70,1.40,200.00,1032.20,162.10
7,ORISSA,1952,0.30,9.50,26.20,53.20,44.40,187.10,356.40,352.00,307.90,176.60,2.20,1.10,1516.90,9.80,123.80,1203.40,179.90
8,JHARKHAND,1952,3.90,10.70,24.20,36.00,58.00,210.70,357.70,355.70,237.90,89.70,1.40,1.40,1387.30,14.60,118.20,1162.00,92.50
9,BIHAR ,1952,1.10,10.30,20.00,24.50,56.70,272.70,212.30,291.80,297.90,15.50,3.30,0.40,1206.50,11.40,101.20,1074.70,19.20
10,EAST UTTAR PRADESH,1952,2.80,12.80,33.70,2.70,9.40,244.80,161.90,350.10,110.80,4.40,0.00,2.60,936.00,15.60,45.80,867.60,7.00
11,WEST UTTAR PRADESH,1952,6.60,19.90,23.60,2.60,8.10,190.40,199.10,378.60,36.60,2.30,0.10,7.40,875.30,26.50,34.30,804.70,9.80
12,UTTARANCHAL,1952,39.30,61.00,125.40,19.80,34.70,239.70,345.30,506.40,81.80,11.20,3.60,6.40,1474.60,100.30,179.90,1173.20,21.20
13,"HARYANA, DELHI & CHANDIGARH",1952,8.00,16.60,11.60,3.00,10.10,63.00,125.90,298.00,1.20,0.00,0.00,4.00,541.40,24.60,24.70,488.10,4.00
14,PUNJAB ,1952,19.70,20.40,34.00,0.70,6.40,59.80,137.00,282.30,1.70,0.10,0.10,3.80,566.00,40.10,41.10,480.80,4.00
15,HIMACHAL PRADESH,1952,86.40,82.80,191.40,35.20,66.80,146.90,198.10,371.10,26.70,12.90,2.80,42.50,1263.60,169.20,293.40,742.80,58.20
16,JAMMU & KASHMIR,1952,88.10,92.90,195.50,41.00,60.30,78.80,178.40,222.40,19.70,1.30,15.40,72.80,1066.60,181.00,296.80,499.30,89.50
17,WEST RAJASTHAN ,1952,0.00,3.70,0.50,0.40,2.00,20.60,156.90,81.60,0.80,0.20,0.30,0.20,267.20,3.70,2.90,259.90,0.70
18,EAST  RAJASTHAN ,1952,0.70,3.30,0.90,2.20,0.30,107.90,349.30,225.60,7.30,0.20,0.00,4.00,701.70,4.00,3.40,690.10,4.20
19,WEST MADHYA PRADESH,1952,0.70,8.90,1.70,1.70,0.80,163.60,367.70,239.40,35.80,1.40,0.00,7.60,829.30,9.60,4.20,806.50,9.00
20,EAST MADHYA PRADESH,1952,1.10,27.10,8.80,2.90,2.60,196.40,386.80,400.30,117.10,8.30,0.00,4.00,1155.40,28.20,14.30,1100.60,12.30
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1952,0.00,0.00,0.00,0.00,0.20,135.90,483.30,138.00,11.60,1.90,0.00,0.00,770.90,0.00,0.20,768.80,1.90
22,SAURASHTRA KUTCH & DIU,1952,0.00,0.30,0.00,0.10,2.00,84.60,284.10,33.20,5.90,1.70,0.60,0.00,412.50,0.30,2.10,407.80,2.30
23,KOKAN & GOA,1952,0.00,0.00,0.00,2.80,23.40,719.70,1023.60,504.00,84.70,149.00,0.00,1.80,2509.00,0.00,26.20,2332.00,150.80
24,MADHYA MAHARASHTRA,1952,0.00,1.90,0.00,8.90,18.90,131.20,268.80,139.10,57.10,56.70,0.00,0.80,683.40,1.90,27.80,596.20,57.50
25,MARATWADA ,1952,0.20,18.80,0.00,3.30,21.70,95.40,144.60,87.20,136.10,36.40,0.00,2.30,546.00,19.00,25.00,463.30,38.70
26,VIDARBHA,1952,0.00,10.60,4.20,10.80,2.50,98.00,235.10,266.50,146.00,33.60,0.00,0.50,807.80,10.60,17.50,745.60,34.10
27,CHATTISGARH,1952,1.30,18.60,17.00,16.40,19.10,116.10,432.50,389.40,298.50,62.80,0.00,2.30,1374.00,19.90,52.50,1236.50,65.10
28,COSTAL ANDHRA PRADESH,1952,0.00,12.10,6.30,19.30,152.00,66.50,93.90,102.80,93.90,205.90,1.50,96.40,850.60,12.10,177.60,357.10,303.80
29,TELENGANA,1952,0.20,11.30,0.50,13.20,73.30,65.10,174.50,138.90,123.60,101.60,0.10,8.80,711.10,11.50,87.00,502.10,110.50
30,RAYALSEEMA,1952,0.00,2.70,0.70,10.90,169.50,46.30,55.30,66.50,55.10,107.90,4.40,88.70,608.00,2.70,181.10,223.20,201.00
31,TAMIL NADU & PONDICHERRY,1952,13.70,47.70,8.90,29.50,58.70,32.90,74.30,73.70,38.20,123.80,47.20,167.60,716.20,61.40,97.10,219.10,338.60
32,COASTAL KARNATAKA,1952,0.00,0.50,0.00,35.40,84.80,912.10,816.60,631.40,54.70,335.50,0.00,25.60,2896.60,0.50,120.20,2414.80,361.10
33,NORTH INTERIOR KARNATAKA,1952,0.00,8.00,0.10,32.10,98.30,52.90,132.00,64.70,85.20,141.60,0.00,13.70,628.60,8.00,130.50,334.80,155.30
34,SOUTH INTERIOR KARNATAKA,1952,0.30,10.60,0.60,40.30,77.80,106.90,176.70,155.40,66.50,188.40,0.70,48.40,872.60,10.90,118.70,505.50,237.50
35,KERALA,1952,5.20,48.20,20.80,112.20,214.60,576.70,430.00,413.60,57.40,339.60,49.60,66.90,2334.80,53.40,347.60,1477.70,456.10
36,LAKSHADWEEP ,1952,21.30,11.20,0.80,11.60,152.40,343.50,157.90,79.60,38.30,273.00,12.20,22.70,1124.50,32.50,164.80,619.30,307.90
1,ANDAMAN & NICOBAR ISLANDS,1953,56.00,65.30,20.10,159.40,241.10,549.90,444.40,262.80,370.10,243.60,246.00,63.30,2722.00,121.30,420.60,1627.20,552.90
2,ARUNACHAL PRADESH,1953,56.40,106.90,236.00,214.90,314.90,409.90,512.50,245.30,449.80,,10.40,23.40,,163.30,765.80,1617.50,
3,ASSAM & MEGHALAYA,1953,18.30,12.90,231.00,166.80,388.80,443.30,529.00,299.20,501.60,155.00,6.20,11.70,2763.80,31.20,786.60,1773.10,172.90
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1953,7.40,16.50,98.40,90.00,453.50,570.90,387.00,424.30,443.80,136.20,25.00,8.70,2661.70,23.90,641.90,1826.00,169.90
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1953,28.20,10.70,88.10,64.50,253.20,427.70,755.20,315.50,540.70,105.70,0.40,4.10,2594.00,38.90,405.80,2039.10,110.20
6,GANGETIC WEST BENGAL,1953,25.80,14.10,4.80,13.60,61.90,311.10,358.30,343.10,278.50,56.00,38.60,0.00,1505.80,39.90,80.30,1291.00,94.60
7,ORISSA,1953,39.90,5.90,0.20,13.80,23.70,182.80,318.90,512.10,231.50,59.20,49.80,0.00,1437.80,45.80,37.70,1245.30,109.00
8,JHARKHAND,1953,35.30,11.00,0.80,7.40,28.50,213.00,440.00,416.20,314.50,23.40,19.30,0.00,1509.40,46.30,36.70,1383.70,42.70
9,BIHAR ,1953,29.60,4.20,8.70,16.60,37.30,223.80,430.10,263.50,342.80,18.40,0.90,0.80,1376.70,33.80,62.60,1260.20,20.10
10,EAST UTTAR PRADESH,1953,32.40,6.30,1.30,3.40,14.90,138.40,497.50,323.70,243.60,3.60,0.00,1.70,1266.80,38.70,19.60,1203.20,5.30
11,WEST UTTAR PRADESH,1953,36.60,0.50,0.00,5.70,7.40,64.60,367.90,193.00,85.10,1.10,0.00,0.50,762.40,37.10,13.10,710.60,1.60
12,UTTARANCHAL,1953,117.70,14.80,18.30,34.60,71.10,180.10,615.00,338.00,125.10,9.80,0.00,34.90,1559.40,132.50,124.00,1258.20,44.70
13,"HARYANA, DELHI & CHANDIGARH",1953,39.50,1.50,0.00,4.10,5.90,56.50,243.80,149.70,47.40,1.20,0.00,6.20,555.80,41.00,10.00,497.40,7.40
14,PUNJAB ,1953,47.10,1.50,0.00,8.20,2.20,54.30,262.70,153.30,72.10,0.50,0.40,9.30,611.60,48.60,10.40,542.40,10.20
15,HIMACHAL PRADESH,1953,149.20,51.90,98.30,86.60,36.90,107.60,390.90,330.30,90.20,11.60,9.30,62.80,1425.60,201.10,221.80,919.00,83.70
16,JAMMU & KASHMIR,1953,135.20,45.10,94.80,94.20,28.50,74.00,254.20,268.50,118.30,49.20,15.40,55.50,1232.90,180.30,217.50,715.00,120.10
17,WEST RAJASTHAN ,1953,5.90,0.00,0.00,0.80,6.50,15.70,70.90,180.50,23.60,0.10,0.00,0.30,304.30,5.90,7.30,290.70,0.40
18,EAST  RAJASTHAN ,1953,31.80,0.00,0.00,1.50,2.30,58.80,164.30,269.20,49.40,2.30,0.00,1.10,580.70,31.80,3.80,541.70,3.40
19,WEST MADHYA PRADESH,1953,19.10,0.00,0.00,2.00,1.10,72.60,273.00,304.20,107.10,14.50,0.00,0.10,793.70,19.10,3.10,756.90,14.60
20,EAST MADHYA PRADESH,1953,16.40,4.80,0.00,7.10,2.00,42.70,408.30,348.00,160.80,16.30,0.00,0.60,1007.00,21.20,9.10,959.80,16.90
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1953,12.60,0.00,0.00,0.10,0.30,141.90,240.40,561.20,104.60,1.10,0.00,0.40,1062.60,12.60,0.40,1048.10,1.50
22,SAURASHTRA KUTCH & DIU,1953,6.20,0.40,0.40,0.00,0.10,69.80,113.20,451.50,72.40,1.10,0.00,0.00,715.10,6.60,0.50,706.90,1.10
23,KOKAN & GOA,1953,0.00,0.00,0.00,15.10,0.00,928.30,1318.50,711.70,210.20,151.90,0.20,0.00,3335.90,0.00,15.10,3168.70,152.10
24,MADHYA MAHARASHTRA,1953,1.20,0.00,0.10,24.50,2.00,186.30,216.50,220.20,126.80,116.10,0.00,0.00,893.70,1.20,26.60,749.80,116.10
25,MARATWADA ,1953,0.30,0.00,0.30,15.20,0.40,200.40,217.90,160.60,208.00,88.10,0.00,0.00,891.20,0.30,15.90,786.90,88.10
26,VIDARBHA,1953,3.90,1.10,0.00,21.40,0.20,138.20,299.40,449.90,173.00,50.70,0.00,0.00,1137.80,5.00,21.60,1060.50,50.70
27,CHATTISGARH,1953,23.20,5.00,0.10,22.10,5.50,144.20,421.70,487.40,211.50,57.70,2.50,0.00,1380.90,28.20,27.70,1264.80,60.20
28,COSTAL ANDHRA PRADESH,1953,11.70,0.60,0.00,17.70,28.70,115.80,130.50,158.30,162.90,286.00,20.30,0.70,933.20,12.30,46.40,567.50,307.00
29,TELENGANA,1953,3.80,0.00,0.90,25.30,1.90,192.00,186.80,281.00,253.60,174.80,0.70,0.00,1120.80,3.80,28.10,913.40,175.50
30,RAYALSEEMA,1953,0.60,0.30,0.00,40.10,18.10,62.20,130.00,45.20,145.80,285.00,21.00,0.20,748.50,0.90,58.20,383.20,306.20
31,TAMIL NADU & PONDICHERRY,1953,13.00,15.80,4.80,97.80,45.80,67.60,111.70,86.20,131.10,278.20,97.10,18.90,968.00,28.80,148.40,396.60,394.20
32,COASTAL KARNATAKA,1953,0.30,0.00,0.00,48.20,8.60,666.20,1630.10,633.60,160.00,313.40,2.90,0.00,3463.30,0.30,56.80,3089.90,316.30
33,NORTH INTERIOR KARNATAKA,1953,0.00,0.00,0.10,38.90,5.80,127.80,192.40,91.60,186.20,248.30,0.00,0.00,891.10,0.00,44.80,598.00,248.30
34,SOUTH INTERIOR KARNATAKA,1953,0.50,2.20,0.70,71.30,34.70,163.90,368.00,191.30,113.10,307.10,2.50,0.50,1255.80,2.70,106.70,836.30,310.10
35,KERALA,1953,13.10,22.60,18.50,132.40,55.40,340.50,1027.60,356.40,100.50,410.50,62.20,5.10,2544.80,35.70,206.30,1825.00,477.80
36,LAKSHADWEEP ,1953,10.40,40.80,9.30,35.00,15.30,205.80,537.00,69.40,125.50,452.40,95.60,9.70,1606.20,51.20,59.60,937.70,557.70
1,ANDAMAN & NICOBAR ISLANDS,1954,83.80,2.10,34.30,58.00,394.70,539.40,510.80,605.40,763.80,247.20,84.80,124.70,3449.00,85.90,487.00,2419.40,456.70
3,ASSAM & MEGHALAYA,1954,21.80,45.40,38.60,258.20,529.00,698.60,653.20,467.40,237.60,156.90,1.80,23.30,3131.80,67.20,825.80,2056.80,182.00
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1954,12.80,52.40,37.70,165.30,300.20,619.80,491.40,558.30,361.70,294.20,2.40,8.80,2905.00,65.20,503.20,2031.20,305.40
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1954,15.70,10.20,10.00,71.10,308.90,841.50,961.50,496.20,250.80,85.60,0.70,3.50,3055.70,25.90,390.00,2550.00,89.80
6,GANGETIC WEST BENGAL,1954,12.30,5.90,0.30,11.60,88.60,211.10,201.70,215.10,247.10,56.80,1.50,28.00,1080.00,18.20,100.50,875.00,86.30
7,ORISSA,1954,0.60,6.20,8.60,19.20,50.20,163.20,211.70,271.90,344.00,118.20,0.00,14.20,1208.00,6.80,78.00,990.80,132.40
8,JHARKHAND,1954,12.40,8.40,4.30,3.50,29.70,160.90,272.20,267.40,257.80,35.30,0.60,7.00,1059.50,20.80,37.50,958.30,42.90
9,BIHAR ,1954,12.50,8.50,0.90,0.60,40.80,167.00,364.80,308.80,129.60,15.10,0.20,1.30,1050.10,21.00,42.30,970.20,16.60
10,EAST UTTAR PRADESH,1954,36.50,32.10,1.70,0.00,3.60,65.20,309.90,300.40,186.50,33.60,0.00,0.20,969.70,68.60,5.30,862.00,33.80
11,WEST UTTAR PRADESH,1954,35.10,67.60,11.00,0.10,0.90,40.50,232.10,221.90,169.30,99.40,0.00,0.00,877.90,102.70,12.00,663.80,99.40
12,UTTARANCHAL,1954,117.60,155.40,22.20,5.20,27.50,110.90,472.70,564.70,216.80,148.80,3.40,13.40,1858.60,273.00,54.90,1365.10,165.60
13,"HARYANA, DELHI & CHANDIGARH",1954,25.10,88.50,10.40,0.40,3.50,26.60,150.90,47.40,132.40,50.30,0.30,0.00,535.80,113.60,14.30,357.30,50.60
14,PUNJAB ,1954,30.80,92.20,9.50,0.10,2.40,27.60,181.80,45.70,226.50,16.60,0.00,0.00,633.20,123.00,12.00,481.60,16.60
15,HIMACHAL PRADESH,1954,196.40,271.80,87.20,13.00,52.20,47.50,336.60,348.90,293.40,46.20,7.60,16.70,1717.50,468.20,152.40,1026.40,70.50
16,JAMMU & KASHMIR,1954,300.80,244.90,58.40,15.60,70.80,25.10,94.60,122.60,284.80,36.60,15.20,11.80,1281.20,545.70,144.80,527.10,63.60
17,WEST RAJASTHAN ,1954,1.60,13.40,0.60,0.00,0.80,16.20,97.00,35.60,82.30,2.00,1.00,0.00,250.50,15.00,1.40,231.10,3.00
18,EAST  RAJASTHAN ,1954,4.00,19.70,4.80,0.00,0.10,41.30,251.90,75.70,233.20,24.00,0.40,0.00,655.10,23.70,4.90,602.10,24.40
19,WEST MADHYA PRADESH,1954,12.30,11.90,5.40,0.10,1.00,70.60,318.70,183.20,480.10,16.90,0.30,0.00,1100.50,24.20,6.50,1052.60,17.20
20,EAST MADHYA PRADESH,1954,16.60,12.20,6.40,3.10,0.10,80.50,329.70,289.50,332.00,5.80,0.00,0.60,1076.50,28.80,9.60,1031.70,6.40
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1954,0.10,2.20,6.00,0.00,0.20,116.20,352.40,214.20,519.30,33.20,0.10,2.60,1246.50,2.30,6.20,1202.10,35.90
22,SAURASHTRA KUTCH & DIU,1954,1.80,1.30,3.60,0.00,0.30,51.20,192.30,207.80,156.10,0.80,0.50,1.30,617.00,3.10,3.90,607.40,2.60
23,KOKAN & GOA,1954,0.00,2.10,3.80,7.20,3.90,589.10,1467.30,912.10,760.20,48.10,0.10,8.80,3802.70,2.10,14.90,3728.70,57.00
24,MADHYA MAHARASHTRA,1954,2.00,0.40,16.00,6.00,15.80,158.50,305.30,171.70,263.00,30.10,0.00,16.20,985.00,2.40,37.80,898.50,46.30
25,MARATWADA ,1954,0.40,0.00,15.50,5.60,5.20,181.00,276.00,138.80,255.60,11.90,0.00,9.70,899.70,0.40,26.30,851.40,21.60
26,VIDARBHA,1954,0.30,0.60,11.40,4.00,1.10,132.40,407.90,248.80,288.30,4.60,0.90,0.10,1100.40,0.90,16.50,1077.40,5.60
27,CHATTISGARH,1954,2.40,1.90,6.10,12.00,10.60,112.30,312.70,357.60,354.70,18.00,0.00,5.10,1193.40,4.30,28.70,1137.30,23.10
28,COSTAL ANDHRA PRADESH,1954,2.30,0.10,8.90,5.20,27.70,103.10,212.80,161.70,219.80,283.10,4.10,39.80,1068.60,2.40,41.80,697.40,327.00
29,TELENGANA,1954,0.00,0.00,10.30,4.70,13.70,100.20,297.10,194.00,242.50,42.50,0.00,3.80,908.80,0.00,28.70,833.80,46.30
30,RAYALSEEMA,1954,7.40,0.00,8.20,10.40,36.20,48.20,177.30,79.10,62.90,176.80,0.00,56.20,662.70,7.40,54.80,367.50,233.00
31,TAMIL NADU & PONDICHERRY,1954,77.50,2.70,58.20,54.20,77.90,35.50,118.50,147.20,34.00,271.00,32.60,107.00,1016.30,80.20,190.30,335.20,410.60
32,COASTAL KARNATAKA,1954,0.50,0.00,21.60,61.10,89.80,1034.40,1357.40,688.70,421.80,133.60,0.60,12.10,3821.60,0.50,172.50,3502.30,146.30
33,NORTH INTERIOR KARNATAKA,1954,0.00,0.00,16.90,19.70,44.90,80.10,216.40,152.70,78.20,62.80,0.20,11.40,683.30,0.00,81.50,527.40,74.40
34,SOUTH INTERIOR KARNATAKA,1954,1.80,0.50,8.90,38.80,127.50,139.20,298.80,174.30,57.00,166.60,0.50,18.80,1032.70,2.30,175.20,669.30,185.90
35,KERALA,1954,23.50,2.80,90.60,136.90,179.50,798.30,640.50,467.00,201.60,303.10,31.60,62.50,2937.90,26.30,407.00,2107.40,397.20
36,LAKSHADWEEP ,1954,74.10,0.00,14.60,39.80,122.30,375.20,259.50,232.90,123.50,256.20,34.10,23.30,1555.50,74.10,176.70,991.10,313.60
1,ANDAMAN & NICOBAR ISLANDS,1955,57.30,28.20,9.90,68.80,663.60,651.10,298.40,356.90,341.80,466.50,362.90,44.20,3349.60,85.50,742.30,1648.20,873.60
3,ASSAM & MEGHALAYA,1955,9.60,9.30,140.20,217.30,347.10,627.10,651.20,448.90,318.00,149.80,95.30,7.90,3021.70,18.90,704.60,2045.20,253.00
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1955,6.20,5.70,161.30,213.60,280.60,461.40,559.20,514.70,253.80,183.50,220.20,5.10,2865.30,11.90,655.50,1789.10,408.80
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1955,4.60,2.80,34.60,71.50,220.50,541.00,1064.60,626.20,365.00,51.30,6.10,4.60,2992.80,7.40,326.60,2596.80,62.00
6,GANGETIC WEST BENGAL,1955,2.90,2.30,11.40,24.30,48.00,174.70,338.80,251.90,188.10,151.90,73.90,0.10,1268.30,5.20,83.70,953.50,225.90
7,ORISSA,1955,0.10,0.20,8.40,29.60,76.50,201.70,238.00,355.90,371.40,262.70,52.30,0.30,1597.10,0.30,114.50,1167.00,315.30
8,JHARKHAND,1955,43.60,9.80,5.90,5.10,23.90,137.70,347.10,240.50,155.40,96.90,14.80,0.10,1080.80,53.40,34.90,880.70,111.80
9,BIHAR ,1955,20.10,6.70,2.30,11.90,28.20,172.40,504.30,268.30,192.10,35.80,0.30,0.10,1242.50,26.80,42.40,1137.10,36.20
10,EAST UTTAR PRADESH,1955,34.40,9.60,1.20,1.90,4.50,202.10,529.90,310.80,230.70,99.10,0.00,0.10,1424.30,44.00,7.60,1273.50,99.20
11,WEST UTTAR PRADESH,1955,44.70,5.60,2.30,3.30,2.10,97.10,199.40,295.20,216.10,193.70,0.00,0.00,1059.50,50.30,7.70,807.80,193.70
12,UTTARANCHAL,1955,84.50,14.10,51.70,41.10,19.70,149.40,354.00,428.40,236.90,270.90,0.00,11.30,1662.00,98.60,112.50,1168.70,282.20
13,"HARYANA, DELHI & CHANDIGARH",1955,33.10,1.90,7.20,7.50,12.90,63.20,106.80,177.30,161.60,130.90,2.80,0.60,705.80,35.00,27.60,508.90,134.30
14,PUNJAB ,1955,33.00,3.60,24.90,20.50,18.60,38.00,148.70,169.70,144.20,370.30,0.00,2.60,974.10,36.60,64.00,500.60,372.90
15,HIMACHAL PRADESH,1955,165.00,42.00,141.40,87.70,114.70,86.20,320.90,337.50,194.40,413.60,0.30,15.50,1919.20,207.00,343.80,939.00,429.40
