State,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,MAR,MAY,NOV,OCT,SEP,Year
Manipur,2027.2,170.4,326.0,28.4,10.9,0.9,272.6,402.9,59.4,312.1,5.0,202.7,235.9,2010
Meghalaya,2498.7,397.4,346.2,7.0,3.4,0.2,374.3,485.8,105.1,349.4,10.3,103.4,316.2,2010
Mizoram,2027.2,170.4,326.0,28.4,10.9,0.9,272.6,402.9,59.4,312.1,5.0,202.7,235.9,2010
Nagaland,2027.2,170.4,326.0,28.4,10.9,0.9,272.6,402.9,59.4,312.1,5.0,202.7,235.9,2010
Odisha,1332.3,9.6,286.8,40.0,2.4,9.9,315.4,154.0,6.0,91.9,38.0,142.6,235.7,2010
Puducherry,1122.2,21.4,107.8,127.2,0.1,11.4,80.2,71.0,2.1,100.7,326.5,153.6,120.2,2010
Punjab,501.1,0.3,121.3,16.6,12.3,2.7,208.6,34.5,0.5,3.5,0.4,5.8,94.6,2010
Rajasthan,660.8699999999999,0.36,247.38,2.9899999999999998,1.3699999999999999,1.52,180.17,34.19,0.15999999999999998,0.75,59.8,0.39,131.79,2010
Sikkim,2849.3,166.8,551.4,2.5,6.4,1.7,667.9,568.1,34.9,332.2,27.4,90.8,399.2,2010
Tamil Nadu,1122.2,21.4,107.8,127.2,0.1,11.4,80.2,71.0,2.1,100.7,326.5,153.6,120.2,2010
Telangana,1248.9,10.9,278.9,17.7,7.2,11.2,389.5,102.3,0.9,40.6,45.7,101.7,242.3,2010
Tripura,2027.2,170.4,326.0,28.4,10.9,0.9,272.6,402.9,59.4,312.1,5.0,202.7,235.9,2010
Uttar Pradesh,782.5799999999999,0.18,239.73999999999998,1.48,13.06,2.9400000000000004,250.66,22.6,0.16000000000000003,14.28,8.98,11.120000000000001,217.38,2010
Uttarakhand,1864.3,12.9,515.7,21.8,53.1,8.7,538.8,109.2,4.3,60.4,5.1,12.0,522.3,2010
West Bengal,1966.8500000000001,90.2,369.5,17.05,10.25,2.05,430.85,384.15,20.65,227.95,16.599999999999998,95.1,302.5,2010
Rajasthan,722.38,1.35,267.33,0.0,12.94,0.0,165.79999999999998,113.88,0.77,6.39,0.0,0.03,153.89,2010
Andaman and Nicobar Islands,3833.5,83.7,513.0,246.3,81.9,222.5,575.8,418.4,305.5,305.7,126.0,183.8,770.9,2011
Andhra Pradesh,739.15,39.599999999999994,181.5,16.7,13.75,1.0,138.6,63.7,0.4,47.85,65.8,96.65,73.6,2011
Arunachal Pradesh,1923.4,114.7,225.8,10.3,36.8,37.6,553.5,336.8,121.5,157.8,19.8,46.8,262.0,2011
Assam,1758.3,77.3,320.0,2.4,11.5,9.0,399.6,323.7,114.8,235.1,14.8,36.8,213.3,2011
Bihar,1217.3,30.3,299.3,0.1,6.1,2.6,258.8,232.8,8.4,101.0,2.9,7.3,267.7,2011
Chandigarh,433.0,5.3,112.3,0.2,20.8,0.6,77.1,73.7,3.9,23.0,0.0,0.0,116.1,2011
Chhattisgarh,1313.0,42.5,374.2,3.6,14.2,0.1,271.4,193.2,1.8,16.6,0.0,13.7,381.7,2011
Dadra and Nagar Haveli,903.9,0.0,456.4,0.0,0.2,0.0,271.5,15.9,0.0,0.0,0.0,2.4,157.5,2011
Daman and Diu,725.0,0.0,284.6,0.0,1.9,0.0,201.2,24.3,0.0,0.0,0.1,3.3,209.6,2011
Delhi,433.0,5.3,112.3,0.2,20.8,0.6,77.1,73.7,3.9,23.0,0.0,0.0,116.1,2011
Goa,3842.4,4.4,968.8,0.0,0.0,0.0,1436.9,837.1,0.0,0.7,11.6,109.5,473.4,2011
Gujarat,814.45,0.0,370.5,0.0,1.05,0.0,236.35,20.1,0.0,0.0,0.05,2.8499999999999996,183.55,2011
Haryana,433.0,5.3,112.3,0.2,20.8,0.6,77.1,73.7,3.9,23.0,0.0,0.0,116.1,2011
Himachal Pradesh,1051.8,59.5,321.5,9.6,98.5,35.1,164.9,141.6,61.0,47.1,0.6,7.6,104.8,2011
Jammu and Kashmir,1122.1,121.9,188.6,31.3,188.9,39.9,123.2,100.4,130.0,47.8,15.5,26.2,108.4,2011
Jharkhand,1274.8,24.9,387.0,0.1,1.1,5.3,161.6,329.4,10.8,46.3,0.0,25.7,282.6,2011
Karnataka,1935.6999999999998,65.76666666666667,428.8666666666666,0.7666666666666667,4.333333333333333,0.10000000000000002,495.06666666666666,441.8666666666666,3.0666666666666664,61.36666666666667,48.166666666666664,133.26666666666665,253.06666666666663,2011
Kerala,3041.6,165.2,495.3,50.0,46.1,20.6,538.4,790.5,25.3,121.6,165.8,230.9,391.9,2011
Lakshadweep,1531.4,86.0,254.9,14.9,2.8,5.1,350.5,153.6,3.2,107.2,180.8,117.4,255.0,2011
Madhya Pradesh,1157.34,5.7,325.74,0.0,1.8,0.06,314.58,279.22,0.8200000000000001,5.34,0.0,1.0,223.07999999999998,2011
Maharashtra,829.0333333333333,16.166666666666668,263.3,0.03333333333333333,5.333333333333333,0.0,246.0666666666667,114.89999999999999,1.0,13.066666666666668,0.0,29.53333333333333,139.63333333333333,2011
Manipur,1655.0,58.3,275.8,0.0,4.2,7.9,262.7,343.7,50.2,360.1,0.0,79.8,212.3,2011
Meghalaya,1758.3,77.3,320.0,2.4,11.5,9.0,399.6,323.7,114.8,235.1,14.8,36.8,213.3,2011
Mizoram,1655.0,58.3,275.8,0.0,4.2,7.9,262.7,343.7,50.2,360.1,0.0,79.8,212.3,2011
Nagaland,1655.0,58.3,275.8,0.0,4.2,7.9,262.7,343.7,50.2,360.1,0.0,79.8,212.3,2011
Odisha,1300.2,62.8,336.9,0.9,20.7,0.3,203.0,215.3,4.4,80.3,0.0,23.3,352.3,2011
Puducherry,1013.8,94.8,114.1,63.9,27.8,7.5,63.8,35.2,8.7,39.3,252.4,220.5,85.8,2011
Punjab,533.6,12.2,161.3,3.4,33.0,3.6,85.0,98.8,6.7,14.5,0.2,0.6,114.3,2011
Sikkim,2360.0,129.2,457.8,3.6,19.3,7.1,602.5,433.0,48.6,219.6,21.1,40.1,378.1,2011
Tamil Nadu,1013.8,94.8,114.1,63.9,27.8,7.5,63.8,35.2,8.7,39.3,252.4,220.5,85.8,2011
Telangana,739.6,33.1,230.3,0.0,9.7,0.0,261.6,80.5,2.3,20.3,1.7,15.7,84.4,2011
Tripura,1655.0,58.3,275.8,0.0,4.2,7.9,262.7,343.7,50.2,360.1,0.0,79.8,212.3,2011
Uttar Pradesh,835.3399999999999,4.1,246.1,0.0,11.16,1.34,221.86,170.33999999999997,4.68,30.92,0.0,0.66,144.18,2011
Uttarakhand,1708.2,35.0,564.2,2.3,73.3,26.2,455.4,262.9,20.0,89.0,2.1,6.0,171.8,2011
West Bengal,2015.85,109.55,451.65,1.8,11.05,4.85,414.2,430.8,44.75,167.0,11.0,34.35,334.85,2011
Andaman and Nicobar Islands,3516.0,58.5,380.0,185.3,45.7,124.0,325.4,463.0,29.6,538.1,272.1,207.9,886.4,2012
Andhra Pradesh,924.25,34.75,154.8,33.85,0.5,18.700000000000003,157.2,57.95,2.5,36.55,158.8,132.4,136.25,2012
Arunachal Pradesh,2761.1,288.8,298.9,33.8,44.2,45.8,499.2,525.8,131.4,182.0,15.6,173.5,522.1,2012
Assam,2321.3,209.6,265.0,3.1,5.7,8.3,472.6,651.0,19.4,158.6,11.0,167.2,349.8,2012
Bihar,924.1,23.3,203.2,0.0,2.8,15.2,297.8,89.3,6.5,17.5,5.1,40.7,222.7,2012
Chandigarh,313.6,13.6,163.5,3.9,0.1,4.6,57.9,4.4,0.3,3.6,0.6,4.0,57.1,2012
Chhattisgarh,1366.8,18.3,424.8,3.9,2.1,45.7,405.7,135.9,0.4,6.9,30.0,31.9,261.2,2012
Dadra and Nagar Haveli,652.0,0.1,205.4,0.0,0.0,0.1,162.1,32.4,0.0,0.0,0.0,4.6,247.3,2012
Daman and Diu,315.3,0.2,31.7,1.0,0.0,0.0,33.9,22.9,0.0,0.1,0.0,2.6,222.9,2012
Delhi,313.6,13.6,163.5,3.9,0.1,4.6,57.9,4.4,0.3,3.6,0.6,4.0,57.1,2012
Goa,2993.9,0.6,757.2,0.0,0.0,0.0,932.6,609.6,0.0,0.2,1.7,173.8,518.2,2012
Gujarat,483.65,0.15000000000000002,118.55,0.5,0.0,0.05,98.0,27.65,0.0,0.05,0.0,3.5999999999999996,235.10000000000002,2012
Haryana,313.6,13.6,163.5,3.9,0.1,4.6,57.9,4.4,0.3,3.6,0.6,4.0,57.1,2012
Himachal Pradesh,1035.0,64.1,311.6,31.8,66.4,112.1,207.1,25.5,43.2,11.5,6.7,2.9,152.1,2012
Jammu and Kashmir,1116.7,112.5,256.4,67.5,116.7,120.2,121.0,42.9,53.3,60.1,12.7,14.9,138.5,2012
Jharkhand,1102.0,15.1,285.8,10.2,11.6,32.6,305.1,128.0,1.9,11.2,53.8,27.1,219.6,2012
Karnataka,1585.4666666666665,76.33333333333333,475.7,2.3666666666666667,0.13333333333333333,0.10000000000000002,339.26666666666665,301.3,0.5666666666666668,27.333333333333332,72.46666666666667,98.7,191.20000000000002,2012
Kerala,2187.6,197.5,502.6,9.7,9.1,7.4,360.6,444.6,29.6,83.8,113.4,189.3,240.0,2012
Lakshadweep,1433.2,76.8,408.8,8.7,0.1,19.2,231.6,327.0,1.7,21.0,12.5,146.1,179.7,2012
Madhya Pradesh,1063.1,1.2999999999999998,371.4,2.4599999999999995,0.9400000000000001,31.959999999999997,401.76,54.42,0.6,2.7,4.68,6.78,184.1,2012
Maharashtra,764.2000000000002,5.8,194.4,0.0,0.3333333333333333,3.233333333333334,234.66666666666666,84.93333333333332,0.0,6.2,5.0,65.10000000000001,164.53333333333333,2012
Manipur,1669.2,196.4,260.9,0.1,3.0,6.0,249.1,384.6,32.8,124.6,41.3,142.4,228.0,2012
Meghalaya,2321.3,209.6,265.0,3.1,5.7,8.3,472.6,651.0,19.4,158.6,11.0,167.2,349.8,2012
Mizoram,1669.2,196.4,260.9,0.1,3.0,6.0,249.1,384.6,32.8,124.6,41.3,142.4,228.0,2012
Nagaland,1669.2,196.4,260.9,0.1,3.0,6.0,249.1,384.6,32.8,124.6,41.3,142.4,228.0,2012
Odisha,1430.2,51.3,411.5,3.6,6.5,55.4,320.3,165.0,0.6,23.5,76.1,69.2,247.2,2012
Puducherry,708.0,38.6,86.6,32.7,2.1,7.1,58.6,22.6,4.4,44.5,78.2,256.8,75.8,2012
Punjab,338.9,20.2,105.1,8.2,2.9,35.8,67.7,9.6,1.9,0.8,0.4,2.8,83.5,2012
Rajasthan,582.55,5.49,302.64,0.44999999999999996,0.0,1.42,130.44,12.29,0.0,12.35,0.0,0.69,116.78,2012
Sikkim,2630.3,156.1,334.3,3.0,9.4,20.5,672.0,609.4,35.7,168.7,6.1,139.4,475.7,2012
Tamil Nadu,708.0,38.6,86.6,32.7,2.1,7.1,58.6,22.6,4.4,44.5,78.2,256.8,75.8,2012
Telangana,972.7,18.3,224.0,0.0,0.0,8.1,263.9,116.5,0.3,13.7,61.3,83.8,182.8,2012
Tripura,1669.2,196.4,260.9,0.1,3.0,6.0,249.1,384.6,32.8,124.6,41.3,142.4,228.0,2012
Uttar Pradesh,745.24,5.359999999999999,233.92000000000002,1.6600000000000001,6.8,27.02,270.1,18.259999999999998,4.24,0.46,0.22,1.08,176.12,2012
Uttarakhand,1309.8,46.6,461.2,19.2,13.4,53.4,389.8,48.0,30.8,10.7,4.6,8.8,223.3,2012
West Bengal,1944.25,108.35,292.6,13.15,12.100000000000001,29.85,490.55,374.7,20.0,108.75,26.35,101.75,366.1,2012
Andaman and Nicobar Islands,2855.4,46.3,336.7,92.3,37.6,67.1,564.8,777.0,43.0,509.3,354.2,455.8,473.6,2013
Andhra Pradesh,569.25,30.35,108.65,2.85,29.85,0.95,120.35,83.1,5.85,29.950000000000003,45.05,262.35,160.2,2013
Arunachal Pradesh,1850.9,175.1,230.2,14.6,40.5,18.5,329.6,290.0,115.1,335.8,13.3,164.1,316.1,2013
Assam,1682.6,112.1,291.2,2.0,9.5,1.1,366.4,285.6,44.4,347.0,1.1,125.9,225.3,2013
Bihar,872.3,32.3,213.6,0.0,22.6,5.1,182.0,183.3,0.6,89.5,0.4,197.1,143.3,2013
Chandigarh,446.5,3.3,161.8,2.1,52.1,21.1,96.8,61.9,5.3,1.4,1.7,11.0,42.8,2013
Chhattisgarh,1243.4,45.5,335.8,0.1,19.4,2.9,425.4,265.6,4.8,5.7,0.3,174.6,138.3,2013
Dadra and Nagar Haveli,1190.6,5.6,238.1,0.0,1.1,0.0,454.2,168.2,0.1,0.0,0.1,59.9,323.3,2013
Daman and Diu,789.2,9.6,100.4,0.0,0.2,1.9,208.9,159.1,0.1,0.1,0.0,34.7,308.9,2013
Delhi,446.5,3.3,161.8,2.1,52.1,21.1,96.8,61.9,5.3,1.4,1.7,11.0,42.8,2013
Goa,3525.3,0.1,517.2,1.3,4.7,0.0,1555.1,1073.0,0.0,22.1,2.5,155.8,353.1,2013
Gujarat,989.9,7.6,169.25,0.0,0.65,0.95,331.55,163.64999999999998,0.1,0.05,0.05,47.3,316.1,2013
Haryana,446.5,3.3,161.8,2.1,52.1,21.1,96.8,61.9,5.3,1.4,1.7,11.0,42.8,2013
Himachal Pradesh,1155.4,25.0,245.9,25.4,174.2,75.6,219.7,240.7,75.1,31.3,15.8,20.5,67.9,2013
Jammu and Kashmir,1098.3,66.5,306.2,28.4,185.4,71.6,175.3,112.7,58.6,64.3,18.8,48.2,57.7,2013
Jharkhand,972.4,22.3,278.1,0.0,17.9,1.1,211.1,181.5,1.6,85.0,0.0,281.1,173.8,2013
Karnataka,1786.8333333333337,27.399999999999995,297.8666666666666,2.5999999999999996,10.666666666666666,1.7333333333333334,668.1666666666666,440.03333333333336,8.233333333333333,78.3,22.5,147.63333333333333,254.4333333333333,2013
Kerala,2823.7,49.3,369.7,17.0,40.1,3.9,830.2,1042.7,49.9,119.3,154.9,259.9,318.6,2013
Lakshadweep,1248.7,5.3,154.4,26.7,34.4,26.2,296.4,426.2,37.5,88.3,78.1,72.8,180.0,2013
Madhya Pradesh,1367.6399999999999,6.82,461.52000000000004,1.56,38.480000000000004,1.88,467.76,292.62,11.86,0.34,0.42,102.0,86.36,2013
Maharashtra,1019.7333333333332,5.466666666666668,203.33333333333334,4.8,9.233333333333333,2.733333333333333,380.23333333333335,246.66666666666666,2.4,4.3,3.8000000000000003,95.2,165.36666666666665,2013
Manipur,1430.0,60.3,291.3,1.2,5.7,0.2,255.9,206.6,19.7,348.9,0.3,125.6,241.4,2013
Meghalaya,1682.6,112.1,291.2,2.0,9.5,1.1,366.4,285.6,44.4,347.0,1.1,125.9,225.3,2013
Mizoram,1430.0,60.3,291.3,1.2,5.7,0.2,255.9,206.6,19.7,348.9,0.3,125.6,241.4,2013
Nagaland,1430.0,60.3,291.3,1.2,5.7,0.2,255.9,206.6,19.7,348.9,0.3,125.6,241.4,2013
Odisha,1240.1,53.6,254.9,0.0,7.8,3.3,380.0,272.6,2.1,57.7,1.2,390.9,208.1,2013
Puducherry,448.6,20.3,110.7,53.2,30.9,3.9,42.7,54.6,30.0,42.0,112.3,127.9,113.5,2013
Punjab,557.7,3.4,217.1,6.6,50.1,9.3,117.9,120.3,11.6,3.6,6.1,16.2,24.4,2013
Rajasthan,675.41,3.17,236.33999999999997,0.21,21.729999999999997,3.5599999999999996,254.16,74.56,1.54,1.21,1.21,24.38,79.14,2013
Sikkim,2187.5,114.7,416.3,2.7,23.6,3.0,588.4,404.9,32.1,296.5,16.1,199.8,308.0,2013
Tamil Nadu,448.6,20.3,110.7,53.2,30.9,3.9,42.7,54.6,30.0,42.0,112.3,127.9,113.5,2013
Telangana,1021.0,25.1,212.3,1.1,30.2,3.9,386.2,185.6,0.1,12.5,17.3,232.6,165.1,2013
Tripura,1430.0,60.3,291.3,1.2,5.7,0.2,255.9,206.6,19.7,348.9,0.3,125.6,241.4,2013
Uttar Pradesh,907.98,5.82,260.82000000000005,4.26,63.26,12.100000000000001,232.4,261.66,3.0600000000000005,1.5,0.98,82.32,67.36,2013
Uttarakhand,1699.2,24.7,359.4,3.8,188.3,73.0,413.4,488.9,22.0,18.2,3.2,29.1,111.3,2013
West Bengal,1816.95,81.55,407.55,1.35,17.05,2.7,427.25,326.4,19.35,253.6,8.05,279.05,281.5,2013
Andaman and Nicobar Islands,2622.4,11.1,321.6,100.4,8.6,41.9,467.6,416.6,0.0,238.0,201.2,402.6,412.9,2014
Andhra Pradesh,650.4,7.95,125.25,12.9,0.85,0.39999999999999997,102.75,50.35,10.2,68.5,39.0,131.35000000000002,100.9,2014
Arunachal Pradesh,2403.2,86.7,599.6,10.2,101.9,19.0,392.4,415.8,80.3,299.0,20.1,35.1,343.0,2014
Assam,2171.9,51.1,474.1,0.4,28.1,2.0,370.3,414.9,29.5,342.0,3.1,34.7,421.7,2014
Bihar,1061.0,0.7,307.6,1.2,33.5,17.0,265.4,115.2,8.4,103.9,0.0,47.8,160.3,2014
Chandigarh,305.6,7.5,34.9,9.6,17.3,13.0,72.4,25.9,26.7,20.3,0.2,10.5,67.2,2014
Chhattisgarh,1274.7,16.2,327.6,0.6,27.9,2.1,422.4,102.7,19.2,25.5,2.7,74.6,253.3,2014
Dadra and Nagar Haveli,792.2,1.0,154.5,0.0,0.2,7.5,341.8,12.2,0.2,1.3,1.5,3.5,268.6,2014
Daman and Diu,467.8,0.5,147.7,0.0,0.0,0.3,166.2,22.6,0.1,2.4,3.3,6.5,118.2,2014
Delhi,305.6,7.5,34.9,9.6,17.3,13.0,72.4,25.9,26.7,20.3,0.2,10.5,67.2,2014
Goa,2913.2,0.5,702.6,12.0,1.0,0.1,1354.7,258.9,0.3,26.9,8.2,111.4,436.7,2014
Gujarat,630.0,0.75,151.1,0.0,0.1,3.9,254.0,17.4,0.15000000000000002,1.85,2.4,5.0,193.4,2014
Haryana,305.6,7.5,34.9,9.6,17.3,13.0,72.4,25.9,26.7,20.3,0.2,10.5,67.2,2014
Himachal Pradesh,1019.9,55.8,167.8,51.2,118.6,66.3,214.4,54.4,118.4,64.7,3.7,18.1,86.5,2014
Jammu and Kashmir,1278.4,106.7,134.6,3.2,89.6,105.4,100.5,35.5,214.5,73.9,19.7,32.2,362.8,2014
Jharkhand,1156.6,1.9,290.9,1.2,47.5,9.9,321.3,139.7,22.9,98.2,0.0,44.9,178.2,2014
Karnataka,1834.9333333333332,34.9,521.9,20.2,2.8666666666666667,0.13333333333333333,525.5,216.63333333333333,16.5,126.76666666666667,25.96666666666667,142.9,200.63333333333333,2014
Kerala,3046.4,95.7,733.9,47.2,10.3,4.6,677.8,454.4,17.9,251.0,99.5,355.5,298.8,2014
Lakshadweep,1395.0,14.9,466.1,62.3,16.1,53.2,116.1,244.1,4.4,57.4,59.0,169.2,132.2,2014
Madhya Pradesh,900.4200000000001,3.6199999999999997,223.48000000000002,14.06,43.58,29.500000000000004,305.0,67.32,12.52,2.06,2.34,36.63999999999999,160.8,2014
Maharashtra,768.7000000000002,7.333333333333333,203.63333333333335,6.233333333333333,12.633333333333335,1.9000000000000001,240.16666666666666,45.9,51.0,13.6,19.633333333333333,23.333333333333332,143.26666666666668,2014
Manipur,1599.9,49.6,372.3,0.1,21.0,1.2,295.7,268.3,25.4,192.5,3.3,69.6,300.9,2014
Meghalaya,2171.9,51.1,474.1,0.4,28.1,2.0,370.3,414.9,29.5,342.0,3.1,34.7,421.7,2014
Mizoram,1599.9,49.6,372.3,0.1,21.0,1.2,295.7,268.3,25.4,192.5,3.3,69.6,300.9,2014
Nagaland,1599.9,49.6,372.3,0.1,21.0,1.2,295.7,268.3,25.4,192.5,3.3,69.6,300.9,2014
Odisha,1536.9,11.7,386.3,0.9,17.6,0.0,496.2,92.2,25.1,111.9,2.2,111.8,281.1,2014
Puducherry,913.2,8.3,117.7,66.0,6.1,7.4,50.6,47.8,8.1,139.1,110.8,252.2,98.9,2014
Punjab,382.7,24.5,41.9,14.1,20.1,21.8,76.3,20.6,30.3,20.8,0.7,6.0,105.8,2014
Rajasthan,568.8199999999999,7.629999999999999,203.57999999999998,0.77,7.66,20.049999999999997,166.11999999999998,20.66,5.96,12.78,0.06,2.3899999999999997,121.15999999999998,2014
Sikkim,2322.6,47.9,563.3,2.4,26.6,0.2,384.6,543.2,37.7,308.6,5.3,31.2,371.5,2014
Tamil Nadu,913.2,8.3,117.7,66.0,6.1,7.4,50.6,47.8,8.1,139.1,110.8,252.2,98.9,2014
Telangana,685.6,10.0,173.4,1.5,1.9,0.1,142.9,55.4,47.7,70.5,12.0,43.3,126.8,2014
Tripura,1599.9,49.6,372.3,0.1,21.0,1.2,295.7,268.3,25.4,192.5,3.3,69.6,300.9,2014
Uttar Pradesh,615.64,3.18,115.02000000000001,11.34,27.28,47.86,195.94,37.4,18.54,10.86,0.0,50.660000000000004,97.56,2014
Uttarakhand,1287.4,37.6,264.2,44.3,99.9,45.9,462.7,62.9,68.4,52.9,0.0,40.8,107.9,2014
West Bengal,1782.15,24.8,429.59999999999997,1.45,34.25,0.44999999999999996,342.6,362.90000000000003,28.25,214.45000000000002,2.6999999999999997,43.75,296.95,2014
